Code,Description
1,"Deductible Amount
Start: 01/01/1995"
2,"Coinsurance Amount
Start: 01/01/1995"
3,"Co-payment Amount
Start: 01/01/1995"
4,"The procedure code is inconsistent with the modifier used. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 03/01/2020"
5,"The procedure code/type of bill is inconsistent with the place of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 03/01/2018"
6,"The procedure/revenue code is inconsistent with the patient's age. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
7,"The procedure/revenue code is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
8,"The procedure code is inconsistent with the provider type/specialty (taxonomy). Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
9,"The diagnosis is inconsistent with the patient's age. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
10,"The diagnosis is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
11,"The diagnosis is inconsistent with the procedure. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
12,"The diagnosis is inconsistent with the provider type. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
13,"The date of death precedes the date of service.
Start: 01/01/1995"
14,"The date of birth follows the date of service.
Start: 01/01/1995"
15,The procedure code is inconsistent with the modifier used or a required modifier is missing.
16,"Claim/service lacks information or has submission/billing error(s). Usage: Do not use this code for claims attachment(s)/other documentation. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 03/01/2018"
17,"Requested information was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.)
Start: 01/01/1995 | Last Modified: 09/21/2008 | Stop: 07/01/2009"
18,"Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO)
Start: 01/01/1995 | Last Modified: 06/02/2013"
19,"This is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier.
Start: 01/01/1995 | Last Modified: 09/30/2007"
20,"This injury/illness is covered by the liability carrier.
Start: 01/01/1995 | Last Modified: 09/30/2007"
21,"This injury/illness is the liability of the no-fault carrier.
Start: 01/01/1995 | Last Modified: 09/30/2007"
22,"This care may be covered by another payer per coordination of benefits.
Start: 01/01/1995 | Last Modified: 09/30/2007"
23,"The impact of prior payer(s) adjudication including payments and/or adjustments. (Use only with Group Code OA)
Start: 01/01/1995 | Last Modified: 09/30/2012"
24,"Charges are covered under a capitation agreement/managed care plan.
Start: 01/01/1995 | Last Modified: 09/30/2007"
25,"Payment denied. Your Stop loss deductible has not been met.
Start: 01/01/1995 | Stop: 04/01/2008"
26,"Expenses incurred prior to coverage.
Start: 01/01/1995"
27,"Expenses incurred after coverage terminated.
Start: 01/01/1995"
28,"Coverage not in effect at the time the service was provided.
Start: 01/01/1995 | Stop: 10/16/2003
Notes: Redundant to codes 26&27."
29,"The time limit for filing has expired.
Start: 01/01/1995"
30,"Payment adjusted because the patient has not met the required eligibility, spend down, waiting, or residency requirements.
Start: 01/01/1995 | Stop: 02/01/2006"
31,"Patient cannot be identified as our insured.
Start: 01/01/1995 | Last Modified: 09/30/2007"
32,"Our records indicate the patient is not an eligible dependent.
Start: 01/01/1995 | Last Modified: 03/01/2018"
33,"Insured has no dependent coverage.
Start: 01/01/1995 | Last Modified: 09/30/2007"
34,"Insured has no coverage for newborns.
Start: 01/01/1995 | Last Modified: 09/30/2007"
35,"Lifetime benefit maximum has been reached.
Start: 01/01/1995 | Last Modified: 10/31/2002"
36,"Balance does not exceed co-payment amount.
Start: 01/01/1995 | Stop: 10/16/2003"
37,"Balance does not exceed deductible.
Start: 01/01/1995 | Stop: 10/16/2003"
38,"Services not provided or authorized by designated (network/primary care) providers.
Start: 01/01/1995 | Last Modified: 06/02/2013 | Stop: 01/01/2013
Notes: CARC codes 242 and 243 are replacements for this deactivated code"
39,"Services denied at the time authorization/pre-certification was requested.
Start: 01/01/1995"
40,"Charges do not meet qualifications for emergent/urgent care. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
41,"Discount agreed to in Preferred Provider contract.
Start: 01/01/1995 | Stop: 10/16/2003"
42,"Charges exceed our fee schedule or maximum allowable amount. (Use CARC 45)
Start: 01/01/1995 | Last Modified: 10/31/2006 | Stop: 06/01/2007"
43,"Gramm-Rudman reduction.
Start: 01/01/1995 | Stop: 07/01/2006"
44,"Prompt-pay discount.
Start: 01/01/1995"
45,"Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. Usage: This adjustment amount cannot equal the total service or claim charge amount; and must not duplicate provider adjustment amounts (payments and contractual reductions) that have resulted from prior payer(s) adjudication. (Use only with Group Codes PR or CO depending upon liability)
Start: 01/01/1995 | Last Modified: 07/01/2017"
46,"This (these) service(s) is (are) not covered.
Start: 01/01/1995 | Stop: 10/16/2003
Notes: Use code 96."
47,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid.
Start: 01/01/1995 | Stop: 02/01/2006"
48,"This (these) procedure(s) is (are) not covered.
Start: 01/01/1995 | Stop: 10/16/2003
Notes: Use code 96."
49,"This is a non-covered service because it is a routine/preventive exam or a diagnostic/screening procedure done in conjunction with a routine/preventive exam. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
50,"These are non-covered services because this is not deemed a 'medical necessity' by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
51,"These are non-covered services because this is a pre-existing condition. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
52,"The referring/prescribing/rendering provider is not eligible to refer/prescribe/order/perform the service billed.
Start: 01/01/1995 | Stop: 02/01/2006"
53,"Services by an immediate relative or a member of the same household are not covered.
Start: 01/01/1995"
54,"Multiple physicians/assistants are not covered in this case. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
55,"Procedure/treatment/drug is deemed experimental/investigational by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
56,"Procedure/treatment has not been deemed 'proven to be effective' by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
57,"Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply.
Start: 01/01/1995 | Stop: 06/30/2007
Notes: Split into codes 150, 151, 152, 153 and 154."
58,"Treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
59,"Processed based on multiple or concurrent procedure rules. (For example multiple surgery or diagnostic imaging, concurrent anesthesia.) Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
60,"Charges for outpatient services are not covered when performed within a period of time prior to or after inpatient services.
Start: 01/01/1995 | Last Modified: 06/01/2008"
61,"Adjusted for failure to obtain second surgical opinion
Start: 01/01/1995 | Last Modified: 03/01/2017
Notes: The description effective date was inadvertently published as 3/1/2016 on 7/1/2016. That has been corrected to 1/1/2017."
62,"Payment denied/reduced for absence of, or exceeded, pre-certification/authorization.
Start: 01/01/1995 | Last Modified: 10/31/2006 | Stop: 04/01/2007"
63,"Correction to a prior claim.
Start: 01/01/1995 | Stop: 10/16/2003"
64,"Denial reversed per Medical Review.
Start: 01/01/1995 | Stop: 10/16/2003"
65,"Procedure code was incorrect. This payment reflects the correct code.
Start: 01/01/1995 | Stop: 10/16/2003"
66,"Blood Deductible.
Start: 01/01/1995"
67,"Lifetime reserve days. (Handled in QTY, QTY01=LA)
Start: 01/01/1995 | Stop: 10/16/2003"
68,"DRG weight. (Handled in CLP12)
Start: 01/01/1995 | Stop: 10/16/2003"
69,"Day outlier amount.
Start: 01/01/1995"
70,"Cost outlier - Adjustment to compensate for additional costs.
Start: 01/01/1995 | Last Modified: 06/30/2001"
71,"Primary Payer amount.
Start: 01/01/1995 | Stop: 06/30/2000
Notes: Use code 23."
72,"Coinsurance day. (Handled in QTY, QTY01=CD)
Start: 01/01/1995 | Stop: 10/16/2003"
73,"Administrative days.
Start: 01/01/1995 | Stop: 10/16/2003"
74,"Indirect Medical Education Adjustment.
Start: 01/01/1995"
75,"Direct Medical Education Adjustment.
Start: 01/01/1995"
76,"Disproportionate Share Adjustment.
Start: 01/01/1995"
77,"Covered days. (Handled in QTY, QTY01=CA)
Start: 01/01/1995 | Stop: 10/16/2003"
78,"Non-Covered days/Room charge adjustment.
Start: 01/01/1995"
79,"Cost Report days. (Handled in MIA15)
Start: 01/01/1995 | Stop: 10/16/2003"
80,"Outlier days. (Handled in QTY, QTY01=OU)
Start: 01/01/1995 | Stop: 10/16/2003"
81,"Discharges.
Start: 01/01/1995 | Stop: 10/16/2003"
82,"PIP days.
Start: 01/01/1995 | Stop: 10/16/2003"
83,"Total visits.
Start: 01/01/1995 | Stop: 10/16/2003"
84,"Capital Adjustment. (Handled in MIA)
Start: 01/01/1995 | Stop: 10/16/2003"
85,"Patient Interest Adjustment (Use Only Group code PR)
Start: 01/01/1995 | Last Modified: 07/09/2007
Notes: Only use when the payment of interest is the responsibility of the patient."
86,"Statutory Adjustment.
Start: 01/01/1995 | Stop: 10/16/2003
Notes: Duplicative of code 45."
87,"Transfer amount.
Start: 01/01/1995 | Last Modified: 09/20/2009 | Stop: 01/01/2012"
88,"Adjustment amount represents collection against receivable created in prior overpayment.
Start: 01/01/1995 | Stop: 06/30/2007"
89,"Professional fees removed from charges.
Start: 01/01/1995"
90,"Ingredient cost adjustment. Usage: To be used for pharmaceuticals only.
Start: 01/01/1995 | Last Modified: 07/01/2017"
91,"Dispensing fee adjustment.
Start: 01/01/1995"
92,"Claim Paid in full.
Start: 01/01/1995 | Stop: 10/16/2003"
93,"No Claim level Adjustments.
Start: 01/01/1995 | Stop: 10/16/2003
Notes: As of 004010, CAS at the claim level is optional."
94,"Processed in Excess of charges.
Start: 01/01/1995"
95,"Plan procedures not followed.
Start: 01/01/1995 | Last Modified: 09/30/2007"
96,"Non-covered charge(s). At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
97,"The benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
98,"The hospital must file the Medicare claim for this inpatient non-physician service.
Start: 01/01/1995 | Stop: 10/16/2003"
99,"Medicare Secondary Payer Adjustment Amount.
Start: 01/01/1995 | Stop: 10/16/2003"
100,"Payment made to patient/insured/responsible party.
Start: 01/01/1995 | Last Modified: 05/01/2018"
101,"Predetermination: anticipated payment upon completion of services or claim adjudication.
Start: 01/01/1995 | Last Modified: 02/28/1999"
102,"Major Medical Adjustment.
Start: 01/01/1995"
103,"Provider promotional discount (e.g., Senior citizen discount).
Start: 01/01/1995 | Last Modified: 06/30/2001"
104,"Managed care withholding.
Start: 01/01/1995"
105,"Tax withholding.
Start: 01/01/1995"
106,"Patient payment option/election not in effect.
Start: 01/01/1995"
107,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
108,"Rent/purchase guidelines were not met. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
109,"Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.
Start: 01/01/1995 | Last Modified: 01/29/2012"
110,"Billing date predates service date.
Start: 01/01/1995"
111,"Not covered unless the provider accepts assignment.
Start: 01/01/1995"
112,"Service not furnished directly to the patient and/or not documented.
Start: 01/01/1995 | Last Modified: 09/30/2007"
113,"Payment denied because service/procedure was provided outside the United States or as a result of war.
Start: 01/01/1995 | Last Modified: 02/28/2001 | Stop: 06/30/2007
Notes: Use Codes 157, 158 or 159."
114,"Procedure/product not approved by the Food and Drug Administration.
Start: 01/01/1995"
115,"Procedure postponed, canceled, or delayed.
Start: 01/01/1995 | Last Modified: 09/30/2007"
116,"The advance indemnification notice signed by the patient did not comply with requirements.
Start: 01/01/1995 | Last Modified: 09/30/2007"
117,"Transportation is only covered to the closest facility that can provide the necessary care.
Start: 01/01/1995 | Last Modified: 09/30/2007"
118,"ESRD network support adjustment.
Start: 01/01/1995 | Last Modified: 09/30/2007"
119,"Benefit maximum for this time period or occurrence has been reached.
Start: 01/01/1995 | Last Modified: 02/29/2004"
120,"Patient is covered by a managed care plan.
Start: 01/01/1995 | Stop: 06/30/2007
Notes: Use code 24."
121,"Indemnification adjustment - compensation for outstanding member responsibility.
Start: 01/01/1995 | Last Modified: 09/30/2007"
122,"Psychiatric reduction.
Start: 01/01/1995"
123,"Payer refund due to overpayment.
Start: 01/01/1995 | Stop: 06/30/2007
Notes: Refer to implementation guide for proper handling of reversals."
124,"Payer refund amount - not our patient.
Start: 01/01/1995 | Last Modified: 06/30/1999 | Stop: 06/30/2007
Notes: Refer to implementation guide for proper handling of reversals."
125,"Submission/billing error(s). At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 01/01/1995 | Last Modified: 09/20/2009 | Stop: 11/01/2013"
126,"Deductible -- Major Medical
Start: 02/28/1997 | Last Modified: 09/30/2007 | Stop: 04/01/2008
Notes: Use Group Code PR and code 1."
127,"Coinsurance -- Major Medical
Start: 02/28/1997 | Last Modified: 09/30/2007 | Stop: 04/01/2008
Notes: Use Group Code PR and code 2."
128,"Newborn's services are covered in the mother's Allowance.
Start: 02/28/1997"
129,"Prior processing information appears incorrect. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 02/28/1997 | Last Modified: 01/30/2011"
130,"Claim submission fee.
Start: 02/28/1997 | Last Modified: 06/30/2001"
131,"Claim specific negotiated discount.
Start: 02/28/1997"
132,"Prearranged demonstration project adjustment.
Start: 02/28/1997"
133,"The disposition of this service line is pending further review. (Use only with Group Code OA). Usage: Use of this code requires a reversal and correction when the service line is finalized (use only in Loop 2110 CAS segment of the 835 or Loop 2430 of the 837).
Start: 07/01/2014 | Last Modified: 07/01/2017"
134,"Technical fees removed from charges.
Start: 10/31/1998"
135,"Interim bills cannot be processed.
Start: 10/31/1998 | Last Modified: 09/30/2007"
136,"Failure to follow prior payer's coverage rules. (Use only with Group Code OA)
Start: 10/31/1998 | Last Modified: 07/01/2013"
137,"Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.
Start: 02/28/1999 | Last Modified: 09/30/2007"
138,"Appeal procedures not followed or time limits not met.
Start: 06/30/1999 | Last Modified: 11/01/2017 | Stop: 05/01/2018"
139,"Contracted funding agreement - Subscriber is employed by the provider of services. Use only with Group Code CO.
Start: 06/30/1999 | Last Modified: 05/01/2018"
140,"Patient/Insured health identification number and name do not match.
Start: 06/30/1999"
141,"Claim spans eligible and ineligible periods of coverage.
Start: 06/30/1999 | Last Modified: 09/30/2007 | Stop: 07/01/2012"
142,"Monthly Medicaid patient liability amount.
Start: 06/30/2000 | Last Modified: 09/30/2007"
143,"Portion of payment deferred.
Start: 02/28/2001"
144,"Incentive adjustment, e.g. preferred product/service.
Start: 06/30/2001"
145,"Premium payment withholding
Start: 06/30/2002 | Last Modified: 09/30/2007 | Stop: 04/01/2008
Notes: Use Group Code CO and code 45."
146,"Diagnosis was invalid for the date(s) of service reported.
Start: 06/30/2002 | Last Modified: 09/30/2007"
147,"Provider contracted/negotiated rate expired or not on file.
Start: 06/30/2002"
148,"Information from another provider was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 06/30/2002 | Last Modified: 09/20/2009"
149,"Lifetime benefit maximum has been reached for this service/benefit category.
Start: 10/31/2002"
150,"Payer deems the information submitted does not support this level of service.
Start: 10/31/2002 | Last Modified: 09/30/2007"
151,"Payment adjusted because the payer deems the information submitted does not support this many/frequency of services.
Start: 10/31/2002 | Last Modified: 01/27/2008"
152,"Payer deems the information submitted does not support this length of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 10/31/2002 | Last Modified: 07/01/2017"
153,"Payer deems the information submitted does not support this dosage.
Start: 10/31/2002 | Last Modified: 09/30/2007"
154,"Payer deems the information submitted does not support this day's supply.
Start: 10/31/2002 | Last Modified: 09/30/2007"
155,"Patient refused the service/procedure.
Start: 06/30/2003 | Last Modified: 09/30/2007"
156,"Flexible spending account payments. Note: Use code 187.
Start: 09/30/2003 | Last Modified: 01/25/2009 | Stop: 10/01/2009"
157,"Service/procedure was provided as a result of an act of war.
Start: 09/30/2003 | Last Modified: 09/30/2007"
158,"Service/procedure was provided outside of the United States.
Start: 09/30/2003 | Last Modified: 09/30/2007"
159,"Service/procedure was provided as a result of terrorism.
Start: 09/30/2003 | Last Modified: 09/30/2007"
160,"Injury/illness was the result of an activity that is a benefit exclusion.
Start: 09/30/2003 | Last Modified: 09/30/2007"
161,"Provider performance bonus
Start: 02/29/2004"
162,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation.
Start: 02/29/2004 | Stop: 07/01/2014
Notes: Use code P1"
163,"Attachment/other documentation referenced on the claim was not received.
Start: 06/30/2004 | Last Modified: 06/02/2013"
164,"Attachment/other documentation referenced on the claim was not received in a timely fashion.
Start: 06/30/2004 | Last Modified: 06/02/2013"
165,"Referral absent or exceeded.
Start: 10/31/2004 | Last Modified: 11/01/2017 | Stop: 05/01/2018"
166,"These services were submitted after this payers responsibility for processing claims under this plan ended.
Start: 02/28/2005"
167,"This (these) diagnosis(es) is (are) not covered. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/30/2005 | Last Modified: 07/01/2017"
168,"Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan.
Start: 06/30/2005 | Last Modified: 11/01/2017 | Stop: 05/01/2018"
169,"Alternate benefit has been provided.
Start: 06/30/2005 | Last Modified: 09/30/2007"
170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/30/2005 | Last Modified: 07/01/2017"
171,"Payment is denied when performed/billed by this type of provider in this type of facility. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/30/2005 | Last Modified: 07/01/2017"
172,"Payment is adjusted when performed/billed by a provider of this specialty. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/30/2005 | Last Modified: 07/01/2017"
173,"Service/equipment was not prescribed by a physician.
Start: 06/30/2005 | Last Modified: 07/01/2013"
174,"Service was not prescribed prior to delivery.
Start: 06/30/2005 | Last Modified: 09/30/2007"
175,"Prescription is incomplete.
Start: 06/30/2005 | Last Modified: 09/30/2007"
176,"Prescription is not current.
Start: 06/30/2005 | Last Modified: 09/30/2007"
177,"Patient has not met the required eligibility requirements.
Start: 06/30/2005 | Last Modified: 09/30/2007"
178,"Patient has not met the required spend down requirements.
Start: 06/30/2005 | Last Modified: 09/30/2007"
179,"Patient has not met the required waiting requirements. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/30/2005 | Last Modified: 03/01/2017"
180,"Patient has not met the required residency requirements.
Start: 06/30/2005 | Last Modified: 09/30/2007"
181,"Procedure code was invalid on the date of service.
Start: 06/30/2005 | Last Modified: 09/30/2007"
182,"Procedure modifier was invalid on the date of service.
Start: 06/30/2005 | Last Modified: 09/30/2007"
183,"The referring provider is not eligible to refer the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/30/2005 | Last Modified: 07/01/2017"
