Code,Description
184,"The prescribing/ordering provider is not eligible to prescribe/order the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/30/2005 | Last Modified: 07/01/2017"
185,"The rendering provider is not eligible to perform the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/30/2005 | Last Modified: 07/01/2017"
186,"Level of care change adjustment.
Start: 06/30/2005 | Last Modified: 09/30/2007"
187,"Consumer Spending Account payments (includes but is not limited to Flexible Spending Account, Health Savings Account, Health Reimbursement Account, etc.)
Start: 06/30/2005 | Last Modified: 01/25/2009"
188,"This product/procedure is only covered when used according to FDA recommendations.
Start: 06/30/2005"
189,"Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service
Start: 06/30/2005"
190,"Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.
Start: 10/31/2005"
191,"Not a work related injury/illness and thus not the liability of the workers' compensation carrier Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF)
Start: 10/31/2005 | Last Modified: 10/17/2010 | Stop: 07/01/2014
Notes: Use code P2"
192,"Non standard adjustment code from paper remittance. Usage: This code is to be used by providers/payers providing Coordination of Benefits information to another payer in the 837 transaction only. This code is only used when the non-standard code cannot be reasonably mapped to an existing Claims Adjustment Reason Code, specifically Deductible, Coinsurance and Co-payment.
Start: 10/31/2005 | Last Modified: 07/01/2017"
193,"Original payment decision is being maintained. Upon review, it was determined that this claim was processed properly.
Start: 02/28/2006 | Last Modified: 01/27/2008"
194,"Anesthesia performed by the operating physician, the assistant surgeon or the attending physician.
Start: 02/28/2006 | Last Modified: 09/30/2007"
195,"Refund issued to an erroneous priority payer for this claim/service.
Start: 02/28/2006 | Last Modified: 09/30/2007"
196,"Claim/service denied based on prior payer's coverage determination.
Start: 06/30/2006 | Stop: 02/01/2007
Notes: Use code 136."
197,"Precertification/authorization/notification/pre-treatment absent.
Start: 10/31/2006 | Last Modified: 05/01/2018"
198,"Precertification/notification/authorization/pre-treatment exceeded.
Start: 10/31/2006 | Last Modified: 05/01/2018"
199,"Revenue code and Procedure code do not match.
Start: 10/31/2006"
200,"Expenses incurred during lapse in coverage
Start: 10/31/2006"
201,"Patient is responsible for amount of this claim/service through 'set aside arrangement' or other agreement. (Use only with Group Code PR) At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 10/31/2006 | Last Modified: 09/28/2014
Notes: Not for use by Workers' Compensation payers; use code P3 instead."
202,"Non-covered personal comfort or convenience services.
Start: 02/28/2007 | Last Modified: 09/30/2007"
203,"Discontinued or reduced service.
Start: 02/28/2007 | Last Modified: 09/30/2007"
204,"This service/equipment/drug is not covered under the patient's current benefit plan
Start: 02/28/2007"
205,"Pharmacy discount card processing fee
Start: 07/09/2007"
206,"National Provider Identifier - missing.
Start: 07/09/2007 | Last Modified: 09/30/2007"
207,"National Provider identifier - Invalid format
Start: 07/09/2007 | Last Modified: 06/01/2008"
208,"National Provider Identifier - Not matched.
Start: 07/09/2007 | Last Modified: 09/30/2007"
209,"Per regulatory or other agreement. The provider cannot collect this amount from the patient. However, this amount may be billed to subsequent payer. Refund to patient if collected. (Use only with Group code OA)
Start: 07/09/2007 | Last Modified: 07/01/2013"
210,"Payment adjusted because pre-certification/authorization not received in a timely fashion
Start: 07/09/2007"
211,"National Drug Codes (NDC) not eligible for rebate, are not covered.
Start: 07/09/2007"
212,"Administrative surcharges are not covered
Start: 11/05/2007"
213,"Non-compliance with the physician self referral prohibition legislation or payer policy.
Start: 01/27/2008"
214,"Workers' Compensation claim adjudicated as non-compensable. This Payer not liable for claim or service/treatment. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). To be used for Workers' Compensation only
Start: 01/27/2008 | Last Modified: 10/17/2010 | Stop: 07/01/2014
Notes: Use code P4"
215,"Based on subrogation of a third party settlement
Start: 01/27/2008"
216,"Based on the findings of a review organization or the payer's findings.
Start: 01/27/2008 | Last Modified: 03/01/2025"
217,"Based on payer reasonable and customary fees. No maximum allowable defined by legislated fee arrangement. (Note: To be used for Property and Casualty only)
Start: 01/27/2008 | Last Modified: 09/30/2012 | Stop: 07/01/2014
Notes: Use code P5"
218,"Based on entitlement to benefits. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). To be used for Workers' Compensation only
Start: 01/27/2008 | Last Modified: 10/17/2010 | Stop: 07/01/2014
Notes: Use code P6"
219,"Based on extent of injury. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF).
Start: 01/27/2008 | Last Modified: 07/01/2017"
220,"The applicable fee schedule/fee database does not contain the billed code. Please resubmit a bill with the appropriate fee schedule/fee database code(s) that best describe the service(s) provided and supporting documentation if required. (Note: To be used for Property and Casualty only)
Start: 01/27/2008 | Last Modified: 09/30/2012 | Stop: 07/01/2014
Notes: Use code P7"
221,"Claim is under investigation. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). (Note: To be used by Property & Casualty only)
Start: 01/27/2008 | Last Modified: 07/01/2013 | Stop: 07/01/2014
Notes: Use code P8"
222,"Exceeds the contracted maximum number of hours/days/units by this provider for this period. This is not patient specific. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/01/2008 | Last Modified: 07/01/2017"
223,"Adjustment code for mandated federal, state or local law/regulation that is not already covered by another code and is mandated before a new code can be created.
Start: 06/01/2008"
224,"Patient identification compromised by identity theft. Identity verification required for processing this and future claims.
Start: 06/01/2008"
225,"Penalty or Interest Payment by Payer (Only used for plan to plan encounter reporting within the 837)
Start: 06/01/2008"
226,"Information requested from the Billing/Rendering Provider was not provided or not provided timely or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 09/21/2008 | Last Modified: 07/01/2013"
227,"Information requested from the patient/insured/responsible party was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 09/21/2008 | Last Modified: 09/20/2009"
228,"Denied for failure of this provider, another provider or the subscriber to supply requested information to a previous payer for their adjudication
Start: 09/21/2008"
229,"Partial charge amount not considered by Medicare due to the initial claim Type of Bill being 12X. Usage: This code can only be used in the 837 transaction to convey Coordination of Benefits information when the secondary payer's cost avoidance policy allows providers to bypass claim submission to a prior payer. (Use only with Group Code PR)
Start: 01/25/2009 | Last Modified: 07/01/2017"
230,"No available or correlating CPT/HCPCS code to describe this service. Note: Used only by Property and Casualty.
Start: 01/25/2009 | Stop: 07/01/2014
Notes: Use code P9"
231,"Mutually exclusive procedures cannot be done in the same day/setting. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 07/01/2009 | Last Modified: 07/01/2017"
232,"Institutional Transfer Amount. Usage: Applies to institutional claims only and explains the DRG amount difference when the patient care crosses multiple institutions.
Start: 11/01/2009 | Last Modified: 07/01/2017"
233,"Services/charges related to the treatment of a hospital-acquired condition or preventable medical error.
Start: 01/24/2010"
234,"This procedure is not paid separately. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 01/24/2010"
235,"Sales Tax
Start: 06/06/2010"
236,"This procedure or procedure/modifier combination is not compatible with another procedure or procedure/modifier combination provided on the same day according to the National Correct Coding Initiative or workers compensation state regulations/ fee schedule requirements.
Start: 01/30/2011 | Last Modified: 07/01/2013"
237,"Legislated/Regulatory Penalty. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 06/05/2011"
238,"Claim spans eligible and ineligible periods of coverage, this is the reduction for the ineligible period. (Use only with Group Code PR)
Start: 03/01/2012 | Last Modified: 07/01/2013"
239,"Claim spans eligible and ineligible periods of coverage. Rebill separate claims.
Start: 03/01/2012 | Last Modified: 01/29/2012"
240,"The diagnosis is inconsistent with the patient's birth weight. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 06/03/2012 | Last Modified: 07/01/2017"
241,"Low Income Subsidy (LIS) Co-payment Amount
Start: 06/03/2012"
242,"Services not provided by network/primary care providers.
Start: 06/03/2012 | Last Modified: 06/02/2013
Notes: This code replaces deactivated code 38"
243,"Services not authorized by network/primary care providers.
Start: 06/03/2012 | Last Modified: 06/02/2013
Notes: This code replaces deactivated code 38"
244,"Payment reduced to zero due to litigation. Additional information will be sent following the conclusion of litigation. To be used for Property & Casualty only.
Start: 09/30/2012 | Stop: 07/01/2014
Notes: Use code P10"
245,"Provider performance program withhold.
Start: 09/30/2012"
246,"This non-payable code is for required reporting only.
Start: 09/30/2012"
247,"Deductible for Professional service rendered in an Institutional setting and billed on an Institutional claim.
Start: 09/30/2012
Notes: For Medicare Bundled Payment use only, under the Patient Protection and Affordable Care Act (PPACA)."
248,"Coinsurance for Professional service rendered in an Institutional setting and billed on an Institutional claim.
Start: 09/30/2012
Notes: For Medicare Bundled Payment use only, under the Patient Protection and Affordable Care Act (PPACA)."
249,"This claim has been identified as a readmission. (Use only with Group Code CO)
Start: 09/30/2012"
250,"The attachment/other documentation that was received was the incorrect attachment/document. The expected attachment/document is still missing. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).
Start: 09/30/2012 | Last Modified: 06/01/2014"
251,"The attachment/other documentation that was received was incomplete or deficient. The necessary information is still needed to process the claim. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).
Start: 09/30/2012 | Last Modified: 06/01/2014"
252,"An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).
Start: 09/30/2012 | Last Modified: 06/02/2013"
253,"Sequestration - reduction in federal payment
Start: 06/02/2013 | Last Modified: 11/01/2013"
254,"Claim received by the dental plan, but benefits not available under this plan. Submit these services to the patient's medical plan for further consideration.
Start: 06/02/2013 | Last Modified: 11/01/2017
Notes: Use CARC 290 if the claim was forwarded."
255,"The disposition of the related Property & Casualty claim (injury or illness) is pending due to litigation. (Use only with Group Code OA)
Start: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P11"
256,"Service not payable per managed care contract.
Start: 06/02/2013"
257,"The disposition of the claim/service is undetermined during the premium payment grace period, per Health Insurance Exchange requirements. This claim/service will be reversed and corrected when the grace period ends (due to premium payment or lack of premium payment). (Use only with Group Code OA)
Start: 11/01/2013 | Last Modified: 06/01/2014
Notes: To be used after the first month of the grace period."
258,"Claim/service not covered when patient is in custody/incarcerated. Applicable federal, state or local authority may cover the claim/service.
Start: 11/01/2013"
259,"Additional payment for Dental/Vision service utilization.
Start: 01/26/2014"
260,"Processed under Medicaid ACA Enhanced Fee Schedule
Start: 01/26/2014"
261,"The procedure or service is inconsistent with the patient's history.
Start: 06/01/2014"
262,"Adjustment for delivery cost. Usage: To be used for pharmaceuticals only.
Start: 11/01/2014 | Last Modified: 07/01/2017"
263,"Adjustment for shipping cost. Usage: To be used for pharmaceuticals only.
Start: 11/01/2014 | Last Modified: 07/01/2017"
264,"Adjustment for postage cost. Usage: To be used for pharmaceuticals only.
Start: 11/01/2014 | Last Modified: 07/01/2017"
265,"Adjustment for administrative cost. Usage: To be used for pharmaceuticals only.
Start: 11/01/2014 | Last Modified: 07/01/2017"
266,"Adjustment for compound preparation cost. Usage: To be used for pharmaceuticals only.
Start: 11/01/2014 | Last Modified: 07/01/2017"
267,"Claim/service spans multiple months. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)
Start: 11/01/2014 | Last Modified: 04/01/2015"
268,"The Claim spans two calendar years. Please resubmit one claim per calendar year.
Start: 11/01/2014"
269,"Anesthesia not covered for this service/procedure. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 03/01/2015 | Last Modified: 07/01/2017"
270,"Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's dental plan for further consideration.
Start: 07/01/2015 | Last Modified: 11/01/2017
Notes: Use CARC 291 if the claim was forwarded."
271,"Prior contractual reductions related to a current periodic payment as part of a contractual payment schedule when deferred amounts have been previously reported. (Use only with Group Code OA)
Start: 11/01/2015 | Last Modified: 03/01/2018"
272,"Coverage/program guidelines were not met.
Start: 11/01/2015"
273,"Coverage/program guidelines were exceeded.
Start: 11/01/2015"
274,"Fee/Service not payable per patient Care Coordination arrangement.
Start: 11/01/2015"
275,"Prior payer's (or payers') patient responsibility (deductible, coinsurance, co-payment) not covered. (Use only with Group Code PR)
Start: 11/01/2015"
276,"Services denied by the prior payer(s) are not covered by this payer.
Start: 11/01/2015"
277,"The disposition of the claim/service is undetermined during the premium payment grace period, per Health Insurance SHOP Exchange requirements. This claim/service will be reversed and corrected when the grace period ends (due to premium payment or lack of premium payment). (Use only with Group Code OA)
Start: 11/01/2015
Notes: To be used during 31 day SHOP grace period."
278,"Performance program proficiency requirements not met. (Use only with Group Codes CO or PI) Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 07/01/2016 | Last Modified: 07/01/2017"
279,"Services not provided by Preferred network providers. Usage: Use this code when there are member network limitations. For example, using contracted providers not in the member's 'narrow' network.
Start: 11/01/2016 | Last Modified: 07/01/2017"
280,"Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's Pharmacy plan for further consideration.
Start: 03/01/2017 | Last Modified: 11/01/2017
Notes: Use CARC 292 if the claim was forwarded."
281,"Deductible waived per contractual agreement. Use only with Group Code CO.
Start: 07/01/2017"
282,"The procedure/revenue code is inconsistent with the type of bill. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 07/01/2017"
283,"Attending provider is not eligible to provide direction of care.
Start: 11/01/2017"
284,"Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the billed services.
Start: 11/01/2017"
285,"Appeal procedures not followed
Start: 11/01/2017"
286,"Appeal time limits not met
Start: 11/01/2017"
287,"Referral exceeded
Start: 11/01/2017"
288,"Referral absent
Start: 11/01/2017"
289,"Services considered under the dental and medical plans, benefits not available.
Start: 11/01/2017
Notes: Also see CARCs 254, 270 and 280."
290,"Claim received by the dental plan, but benefits not available under this plan. Claim has been forwarded to the patient's medical plan for further consideration.
Start: 11/01/2017
Notes: Use CARC 254 if the claim was not forwarded."
291,"Claim received by the medical plan, but benefits not available under this plan. Claim has been forwarded to the patient's dental plan for further consideration.
Start: 11/01/2017
Notes: Use CARC 270 if the claim was not forwarded."
292,"Claim received by the medical plan, but benefits not available under this plan. Claim has been forwarded to the patient's pharmacy plan for further consideration.
Start: 11/01/2017
Notes: Use CARC 280 if the claim was not forwarded."
293,"Payment made to employer.
Start: 05/01/2018"
294,"Payment made to attorney.
Start: 11/01/2017"
295,"Pharmacy Direct/Indirect Remuneration (DIR)
Start: 03/01/2018"
296,"Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the provider.
Start: 07/01/2018"
297,"Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's vision plan for further consideration.
Start: 03/01/2019"
298,"Claim received by the medical plan, but benefits not available under this plan. Claim has been forwarded to the patient's vision plan for further consideration.
Start: 03/01/2019"
299,"The billing provider is not eligible to receive payment for the service billed.
Start: 07/01/2019"
300,"Claim received by the Medical Plan, but benefits not available under this plan. Claim has been forwarded to the patient's Behavioral Health Plan for further consideration.
Start: 07/01/2019"
301,"Claim received by the Medical Plan, but benefits not available under this plan. Submit these services to the patient's Behavioral Health Plan for further consideration.
Start: 07/01/2019"
302,"Precertification/notification/authorization/pre-treatment time limit has expired.
Start: 11/01/2020"
303,"Prior payer's (or payers') patient responsibility (deductible, coinsurance, co-payment) not covered for Qualified Medicare and Medicaid Beneficiaries. (Use only with Group Code CO)
Start: 07/01/2021"
304,"Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's hearing plan for further consideration.
Start: 03/01/2022"
305,"Claim received by the medical plan, but benefits not available under this plan. Claim has been forwarded to the patient's hearing plan for further consideration.
Start: 03/01/2022"
306,"Type of bill is inconsistent with the patient status. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 11/01/2023"
307,"Medicare Maximum Fair Price Standard Default Refund Amount Adjustment. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Usage: To be used only for the Medicare Drug Price Negotiation Program.
Start: 03/01/2025"
308,"Payment is adjusted due to contracted funding agreement between the payer and provider.
Start: 11/01/2025"
A0,"Patient refund amount.
Start: 01/01/1995"
A1,"Claim/Service denied. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Usage: Use this code only when a more specific Claim Adjustment Reason Code is not available.
Start: 01/01/1995 | Last Modified: 11/16/2022"
A2,"Contractual adjustment.
Start: 01/01/1995 | Last Modified: 02/28/2007 | Stop: 01/01/2008
Notes: Use Code 45 with Group Code 'CO' or use another appropriate specific adjustment code."
A3,"Medicare Secondary Payer liability met.
Start: 01/01/1995 | Stop: 10/16/2003"
A4,"Medicare Claim PPS Capital Day Outlier Amount.
Start: 01/01/1995 | Last Modified: 09/30/2007 | Stop: 04/01/2008"
A5,"Medicare Claim PPS Capital Cost Outlier Amount.
Start: 01/01/1995"
A6,"Prior hospitalization or 30 day transfer requirement not met.
Start: 01/01/1995"
A7,"Presumptive Payment Adjustment
Start: 01/01/1995 | Stop: 07/01/2015"
A8,"Ungroupable DRG.
Start: 01/01/1995 | Last Modified: 09/30/2007"
B1,"Non-covered visits.
Start: 01/01/1995"
B2,"Covered visits.
Start: 01/01/1995 | Stop: 10/16/2003"
B3,"Covered charges.
Start: 01/01/1995 | Stop: 10/16/2003"
B4,"Late filing penalty.
Start: 01/01/1995"
B5,"Coverage/program guidelines were not met or were exceeded.
Start: 01/01/1995 | Last Modified: 11/01/2015 | Stop: 05/01/2016
Notes: This code has been replaced by 272 and 273."
